"IID1"	"IID2"	"PI_HAT"
"BadSample_12"	"HG00268"	0.2471
"BadSample_12"	"HG00269"	0.2318
"BadSample_12"	"HG00271"	0.234
"BadSample_12"	"HG00272"	0.2263
"BadSample_12"	"HG00273"	0.2381
"BadSample_12"	"HG00274"	0.2423
"BadSample_12"	"HG00275"	0.2402
"BadSample_12"	"HG00276"	0.2416
"BadSample_12"	"HG00277"	0.2414
"BadSample_12"	"HG00278"	0.2349
"BadSample_12"	"HG00280"	0.2308
"BadSample_12"	"HG00281"	0.2397
"BadSample_12"	"HG00282"	0.2345
"BadSample_12"	"HG00284"	0.2432
"BadSample_12"	"HG00285"	0.2231
"BadSample_12"	"HG00288"	0.2253
"BadSample_12"	"HG00290"	0.2326
"BadSample_12"	"HG00304"	0.2309
"BadSample_12"	"HG00306"	0.2404
"BadSample_12"	"HG00308"	0.232
"BadSample_12"	"HG00309"	0.2401
"BadSample_12"	"HG00310"	0.2407
"BadSample_12"	"HG00311"	0.2469
"BadSample_12"	"HG00313"	0.2395
"BadSample_12"	"HG00315"	0.2388
"BadSample_12"	"HG00318"	0.2408
"BadSample_12"	"HG00319"	0.241
"BadSample_12"	"HG00320"	0.2267
"BadSample_12"	"HG00321"	0.2221
"BadSample_12"	"HG00323"	0.2278
"BadSample_12"	"HG00324"	0.224
"BadSample_12"	"HG00325"	0.2316
"BadSample_12"	"HG00326"	0.2399
"BadSample_12"	"HG00327"	0.2416
"BadSample_12"	"HG00328"	0.2286
"BadSample_12"	"HG00329"	0.2358
"BadSample_12"	"HG00330"	0.2433
"BadSample_12"	"HG00331"	0.2374
"BadSample_12"	"HG00332"	0.2348
"BadSample_12"	"HG00334"	0.2292
"BadSample_12"	"HG00335"	0.2498
"BadSample_12"	"HG00336"	0.2426
"BadSample_12"	"HG00337"	0.2478
"BadSample_12"	"HG00338"	0.2348
"BadSample_12"	"HG00339"	0.2322
"BadSample_12"	"HG00341"	0.2372
"BadSample_12"	"HG00342"	0.2351
"BadSample_12"	"HG00343"	0.2381
"BadSample_12"	"HG00344"	0.2553
"BadSample_12"	"HG00345"	0.2373
"BadSample_12"	"HG00346"	0.2173
"BadSample_12"	"HG00349"	0.2412
"BadSample_12"	"HG00350"	0.2339
"BadSample_12"	"HG00351"	0.2247
"BadSample_12"	"HG00353"	0.2414
"BadSample_12"	"HG00355"	0.2441
"BadSample_12"	"HG00356"	0.2297
"BadSample_12"	"HG00357"	0.2382
"BadSample_12"	"HG00358"	0.2269
"BadSample_12"	"HG00360"	0.2409
"BadSample_12"	"HG00361"	0.23
"BadSample_12"	"HG00362"	0.2328
"BadSample_12"	"HG00364"	0.2415
"BadSample_12"	"HG00365"	0.2358
"BadSample_12"	"HG00366"	0.2381
"BadSample_12"	"HG00367"	0.243
"BadSample_12"	"HG00368"	0.2259
"BadSample_12"	"HG00369"	0.2337
"BadSample_12"	"HG00371"	0.224
"BadSample_12"	"HG00372"	0.2403
"BadSample_12"	"HG00373"	0.2278
"BadSample_12"	"HG00375"	0.2385
"BadSample_12"	"HG00376"	0.2382
"BadSample_12"	"HG00378"	0.2354
"BadSample_12"	"HG00379"	0.2418
"BadSample_12"	"HG00380"	0.2481
"BadSample_12"	"HG00381"	0.2384
"BadSample_12"	"HG00382"	0.2395
"BadSample_12"	"HG00383"	0.2259
"BadSample_12"	"HG00384"	0.2381
"BadSample_12"	"HG00551"	0.2139
"BadSample_12"	"HG00553"	0.2007
"BadSample_12"	"HG00554"	0.2216
"BadSample_12"	"HG00637"	0.2099
"BadSample_12"	"HG00638"	0.2176
"BadSample_12"	"HG01334"	0.2422
"BadSample_12"	"HG01500"	0.2245
"BadSample_12"	"HG01501"	0.234
"BadSample_12"	"HG01503"	0.2344
"BadSample_12"	"HG01504"	0.2352
"BadSample_12"	"HG01506"	0.2366
"BadSample_12"	"HG01507"	0.2396
"BadSample_12"	"HG01509"	0.2456
"BadSample_12"	"HG01510"	0.2394
"BadSample_12"	"HG01512"	0.2341
"BadSample_12"	"HG01513"	0.2465
"BadSample_12"	"HG01515"	0.2347
"BadSample_12"	"HG01516"	0.2279
"BadSample_12"	"HG01518"	0.2333
"BadSample_12"	"HG01519"	0.2409
"BadSample_12"	"HG01521"	0.2394
"BadSample_12"	"HG01522"	0.2245
"BadSample_12"	"HG01524"	0.2384
"BadSample_12"	"HG01525"	0.2374
"BadSample_12"	"HG01527"	0.2348
"BadSample_12"	"HG01528"	0.232
"BadSample_12"	"HG01530"	0.2394
"BadSample_12"	"HG01531"	0.2067
"BadSample_12"	"HG01536"	0.2362
"BadSample_12"	"HG01537"	0.2473
"BadSample_12"	"HG01602"	0.2263
"BadSample_12"	"HG01603"	0.2398
"BadSample_12"	"HG01605"	0.2466
"BadSample_12"	"HG01606"	0.239
"BadSample_12"	"HG01607"	0.2354
"BadSample_12"	"HG01608"	0.2454
"BadSample_12"	"HG01610"	0.2282
"BadSample_12"	"HG01612"	0.2361
"BadSample_12"	"HG01613"	0.2316
"BadSample_12"	"HG01615"	0.2319
"BadSample_12"	"HG01617"	0.2332
"BadSample_12"	"HG01618"	0.2242
"BadSample_12"	"HG01619"	0.2367
"BadSample_12"	"HG01620"	0.2399
"BadSample_12"	"HG01623"	0.2346
"BadSample_12"	"HG01624"	0.2373
"BadSample_12"	"HG01625"	0.2417
"BadSample_12"	"HG01626"	0.2396
"BadSample_12"	"HG01628"	0.2148
"BadSample_12"	"HG01630"	0.2259
"BadSample_12"	"HG01631"	0.242
"BadSample_12"	"HG01632"	0.2316
"BadSample_12"	"HG01668"	0.2359
"BadSample_12"	"HG01669"	0.2267
"BadSample_12"	"HG01670"	0.2311
"BadSample_12"	"HG01672"	0.2358
"BadSample_12"	"HG01673"	0.2283
"BadSample_12"	"HG01675"	0.2383
"BadSample_12"	"HG01676"	0.2353
"BadSample_12"	"HG01678"	0.2411
"BadSample_12"	"HG01679"	0.2127
"BadSample_12"	"HG01680"	0.2264
"BadSample_12"	"HG01682"	0.2468
"BadSample_12"	"HG01684"	0.2364
"BadSample_12"	"HG01685"	0.2423
"BadSample_12"	"HG01686"	0.2333
"BadSample_12"	"HG01694"	0.2268
"BadSample_12"	"HG01695"	0.2274
"BadSample_12"	"HG01697"	0.2349
"BadSample_12"	"HG01699"	0.2407
"BadSample_12"	"HG01700"	0.2359
"BadSample_12"	"HG01702"	0.2319
"BadSample_12"	"HG01704"	0.2296
"BadSample_12"	"HG01705"	0.2349
"BadSample_12"	"HG01707"	0.2432
"BadSample_12"	"HG01708"	0.2374
"BadSample_12"	"HG01709"	0.2574
"BadSample_12"	"HG01710"	0.2413
"BadSample_12"	"HG01746"	0.2374
"BadSample_12"	"HG01747"	0.2361
"BadSample_12"	"HG01756"	0.2341
"BadSample_12"	"HG01757"	0.2324
"BadSample_12"	"HG01761"	0.2438
"BadSample_12"	"HG01762"	0.2279
"BadSample_12"	"HG01765"	0.2373
"BadSample_12"	"HG01766"	0.2381
"BadSample_12"	"HG01767"	0.2406
"BadSample_12"	"HG01768"	0.2322
"BadSample_12"	"HG01770"	0.2461
"BadSample_12"	"HG01771"	0.2393
"BadSample_12"	"HG01773"	0.2382
"BadSample_12"	"HG01775"	0.2391
"BadSample_12"	"HG01776"	0.2372
"BadSample_12"	"HG01777"	0.2447
"BadSample_12"	"HG01779"	0.233
"BadSample_12"	"HG01781"	0.2427
"BadSample_12"	"HG01783"	0.2347
"BadSample_12"	"HG01784"	0.2342
"BadSample_12"	"HG01785"	0.2445
"BadSample_12"	"HG01786"	0.2379
"BadSample_12"	"HG01789"	0.2356
"BadSample_12"	"HG01790"	0.2418
"BadSample_12"	"HG01791"	0.2443
"BadSample_12"	"HG02215"	0.2407
"BadSample_12"	"HG02219"	0.2281
"BadSample_12"	"HG02220"	0.2451
"BadSample_12"	"HG02221"	0.2373
"BadSample_12"	"HG02223"	0.2454
"BadSample_12"	"HG02224"	0.2437
"BadSample_12"	"HG02230"	0.235
"BadSample_12"	"HG02231"	0.2434
"BadSample_12"	"HG02232"	0.2353
"BadSample_12"	"HG02233"	0.2331
"BadSample_12"	"HG02235"	0.2352
"BadSample_12"	"HG02236"	0.2379
"BadSample_12"	"HG02238"	0.2444
"BadSample_12"	"HG02239"	0.2295
"BadSample_12"	"NA06984"	0.23
"BadSample_12"	"NA06985"	0.2427
"BadSample_12"	"NA06986"	0.2485
"BadSample_12"	"NA06989"	0.2433
"BadSample_12"	"NA06994"	0.2417
"BadSample_12"	"NA07000"	0.2522
"BadSample_12"	"NA07037"	0.2486
"BadSample_12"	"NA07048"	0.2445
"BadSample_12"	"NA07051"	0.2355
"BadSample_12"	"NA07056"	0.2465
"BadSample_12"	"NA07347"	0.2449
"BadSample_12"	"NA07357"	0.2383
"BadSample_12"	"NA10847"	0.2478
"BadSample_12"	"NA10851"	0.2354
"BadSample_12"	"NA11829"	0.2509
"BadSample_12"	"NA11830"	0.2436
"BadSample_12"	"NA11831"	0.2485
"BadSample_12"	"NA11832"	0.2369
"BadSample_12"	"NA11840"	0.2447
"BadSample_12"	"NA11843"	0.2551
"BadSample_12"	"NA11881"	0.2431
"BadSample_12"	"NA11892"	0.2376
"BadSample_12"	"NA11893"	0.2427
"BadSample_12"	"NA11894"	0.2485
"BadSample_12"	"NA11918"	0.2469
"BadSample_12"	"NA11919"	0.2406
"BadSample_12"	"NA11920"	0.2382
"BadSample_12"	"NA11930"	0.241
"BadSample_12"	"NA11931"	0.2536
"BadSample_12"	"NA11932"	0.2538
"BadSample_12"	"NA11933"	0.2444
"BadSample_12"	"NA11992"	0.2394
"BadSample_12"	"NA11994"	0.2478
"BadSample_12"	"NA11995"	0.2418
"BadSample_12"	"NA12003"	0.2505
"BadSample_12"	"NA12004"	0.2453
"BadSample_12"	"NA12005"	0.242
"BadSample_12"	"NA12006"	0.2489
"BadSample_12"	"NA12043"	0.2335
"BadSample_12"	"NA12044"	0.2359
"BadSample_12"	"NA12045"	0.2526
"BadSample_12"	"NA12046"	0.2464
"BadSample_12"	"NA12058"	0.2388
"BadSample_12"	"NA12144"	0.2323
"BadSample_12"	"NA12154"	0.2562
"BadSample_12"	"NA12155"	0.2357
"BadSample_12"	"NA12156"	0.2434
"BadSample_12"	"NA12234"	0.2448
"BadSample_12"	"NA12249"	0.2435
"BadSample_12"	"NA12272"	0.2477
"BadSample_12"	"NA12273"	0.2445
"BadSample_12"	"NA12275"	0.2432
"BadSample_12"	"NA12282"	0.2513
"BadSample_12"	"NA12283"	0.2351
"BadSample_12"	"NA12286"	0.2458
"BadSample_12"	"NA12287"	0.2368
"BadSample_12"	"NA12340"	0.2442
"BadSample_12"	"NA12341"	0.2556
"BadSample_12"	"NA12342"	0.2253
"BadSample_12"	"NA12347"	0.2559
"BadSample_12"	"NA12348"	0.2407
"BadSample_12"	"NA12383"	0.2428
"BadSample_12"	"NA12399"	0.2405
"BadSample_12"	"NA12400"	0.25
"BadSample_12"	"NA12413"	0.2344
"BadSample_12"	"NA12414"	0.231
"BadSample_12"	"NA12489"	0.2377
"BadSample_12"	"NA12546"	0.2444
"BadSample_12"	"NA12716"	0.2488
"BadSample_12"	"NA12717"	0.2442
"BadSample_12"	"NA12718"	0.2406
"BadSample_12"	"NA12748"	0.2562
"BadSample_12"	"NA12749"	0.2487
"BadSample_12"	"NA12750"	0.25
"BadSample_12"	"NA12751"	0.2468
"BadSample_12"	"NA12760"	0.2337
"BadSample_12"	"NA12761"	0.2422
"BadSample_12"	"NA12762"	0.2387
"BadSample_12"	"NA12763"	0.233
"BadSample_12"	"NA12775"	0.2485
"BadSample_12"	"NA12776"	0.2408
"BadSample_12"	"NA12777"	0.2374
"BadSample_12"	"NA12778"	0.2381
"BadSample_12"	"NA12812"	0.2383
"BadSample_12"	"NA12813"	0.2493
"BadSample_12"	"NA12814"	0.2379
"BadSample_12"	"NA12815"	0.2461
"BadSample_12"	"NA12827"	0.2399
"BadSample_12"	"NA12828"	0.2399
"BadSample_12"	"NA12829"	0.2354
"BadSample_12"	"NA12830"	0.2447
"BadSample_12"	"NA12842"	0.2475
"BadSample_12"	"NA12843"	0.2407
"BadSample_12"	"NA12872"	0.251
"BadSample_12"	"NA12873"	0.2391
"BadSample_12"	"NA12874"	0.2199
"BadSample_12"	"NA12878"	0.2377
"BadSample_12"	"NA12889"	0.2438
"BadSample_12"	"NA12890"	0.2414
"BadSample_12"	"NA20502"	0.2219
"BadSample_12"	"NA20503"	0.2383
"BadSample_12"	"NA20504"	0.234
"BadSample_12"	"NA20505"	0.2286
"BadSample_12"	"NA20506"	0.2354
"BadSample_12"	"NA20507"	0.2259
"BadSample_12"	"NA20508"	0.2363
"BadSample_12"	"NA20509"	0.223
"BadSample_12"	"NA20510"	0.2367
"BadSample_12"	"NA20511"	0.2281
"BadSample_12"	"NA20512"	0.2348
"BadSample_12"	"NA20513"	0.2318
"BadSample_12"	"NA20514"	0.2355
"BadSample_12"	"NA20515"	0.2343
"BadSample_12"	"NA20516"	0.2436
"BadSample_12"	"NA20517"	0.228
"BadSample_12"	"NA20518"	0.2472
"BadSample_12"	"NA20519"	0.2203
"BadSample_12"	"NA20520"	0.2331
"BadSample_12"	"NA20521"	0.241
"BadSample_12"	"NA20522"	0.2364
"BadSample_12"	"NA20524"	0.2324
"BadSample_12"	"NA20525"	0.2263
"BadSample_12"	"NA20527"	0.2371
"BadSample_12"	"NA20528"	0.2442
"BadSample_12"	"NA20529"	0.2317
"BadSample_12"	"NA20530"	0.245
"BadSample_12"	"NA20531"	0.2344
"BadSample_12"	"NA20532"	0.2364
"BadSample_12"	"NA20533"	0.2351
"BadSample_12"	"NA20534"	0.2351
"BadSample_12"	"NA20535"	0.2374
"BadSample_12"	"NA20536"	0.2313
"BadSample_12"	"NA20538"	0.2326
"BadSample_12"	"NA20539"	0.2359
"BadSample_12"	"NA20540"	0.2376
"BadSample_12"	"NA20541"	0.2283
"BadSample_12"	"NA20542"	0.2307
"BadSample_12"	"NA20543"	0.2443
"BadSample_12"	"NA20544"	0.229
"BadSample_12"	"NA20581"	0.237
"BadSample_12"	"NA20582"	0.2295
"BadSample_12"	"NA20585"	0.2055
"BadSample_12"	"NA20586"	0.2388
"BadSample_12"	"NA20587"	0.235
"BadSample_12"	"NA20588"	0.2288
"BadSample_12"	"NA20589"	0.2401
"BadSample_12"	"NA20752"	0.2409
"BadSample_12"	"NA20753"	0.2332
"BadSample_12"	"NA20754"	0.2385
"BadSample_12"	"NA20755"	0.2465
"BadSample_12"	"NA20756"	0.2291
"BadSample_12"	"NA20757"	0.2332
"BadSample_12"	"NA20758"	0.2351
"BadSample_12"	"NA20759"	0.2449
"BadSample_12"	"NA20760"	0.2461
"BadSample_12"	"NA20761"	0.2374
"BadSample_12"	"NA20762"	0.2295
"BadSample_12"	"NA20763"	0.2274
"BadSample_12"	"NA20764"	0.2338
"BadSample_12"	"NA20765"	0.2267
"BadSample_12"	"NA20766"	0.2272
"BadSample_12"	"NA20767"	0.235
"BadSample_12"	"NA20768"	0.2349
"BadSample_12"	"NA20769"	0.2406
"BadSample_12"	"NA20770"	0.2395
"BadSample_12"	"NA20771"	0.2438
"BadSample_12"	"NA20772"	0.2351
"BadSample_12"	"NA20773"	0.2386
"BadSample_12"	"NA20774"	0.2293
"BadSample_12"	"NA20775"	0.2374
"BadSample_12"	"NA20778"	0.2311
"BadSample_12"	"NA20783"	0.2344
"BadSample_12"	"NA20785"	0.2353
"BadSample_12"	"NA20786"	0.2207
"BadSample_12"	"NA20787"	0.2295
"BadSample_12"	"NA20790"	0.232
"BadSample_12"	"NA20792"	0.2307
"BadSample_12"	"NA20795"	0.2329
"BadSample_12"	"NA20796"	0.2337
"BadSample_12"	"NA20797"	0.2335
"BadSample_12"	"NA20798"	0.2383
"BadSample_12"	"NA20799"	0.2364
"BadSample_12"	"NA20800"	0.2318
"BadSample_12"	"NA20801"	0.2408
"BadSample_12"	"NA20802"	0.2312
"BadSample_12"	"NA20803"	0.2387
"BadSample_12"	"NA20804"	0.2383
"BadSample_12"	"NA20805"	0.2356
"BadSample_12"	"NA20806"	0.2341
"BadSample_12"	"NA20807"	0.2451
"BadSample_12"	"NA20808"	0.2293
"BadSample_12"	"NA20809"	0.2353
"BadSample_12"	"NA20810"	0.235
"BadSample_12"	"NA20811"	0.2416
"BadSample_12"	"NA20812"	0.2311
"BadSample_12"	"NA20813"	0.2357
"BadSample_12"	"NA20814"	0.239
"BadSample_12"	"NA20815"	0.2439
"BadSample_12"	"NA20818"	0.2417
"BadSample_12"	"NA20819"	0.2308
"BadSample_12"	"NA20821"	0.2431
"BadSample_12"	"NA20822"	0.239
"BadSample_12"	"NA20826"	0.2338
"BadSample_12"	"NA20827"	0.2374
"BadSample_12"	"NA20828"	0.2327
"BadSample_12"	"NA20832"	0.2385
"BadSample_13"	"BadSample_14"	0.9894
"BadSample_13"	"BadSample_15"	0.4719
"BadSample_13"	"HG00096"	0.301
"BadSample_13"	"HG00097"	0.2978
"BadSample_13"	"HG00099"	0.3007
"BadSample_13"	"HG00100"	0.2956
"BadSample_13"	"HG00101"	0.3084
"BadSample_13"	"HG00102"	0.2952
"BadSample_13"	"HG00103"	0.3013
"BadSample_13"	"HG00105"	0.2957
"BadSample_13"	"HG00106"	0.3048
"BadSample_13"	"HG00107"	0.3123
"BadSample_13"	"HG00108"	0.3107
"BadSample_13"	"HG00109"	0.3062
"BadSample_13"	"HG00110"	0.2824
"BadSample_13"	"HG00111"	0.2948
"BadSample_13"	"HG00112"	0.3028
"BadSample_13"	"HG00113"	0.3023
"BadSample_13"	"HG00114"	0.2967
"BadSample_13"	"HG00115"	0.3047
"BadSample_13"	"HG00116"	0.3057
"BadSample_13"	"HG00117"	0.2873
"BadSample_13"	"HG00118"	0.3009
"BadSample_13"	"HG00119"	0.3034
"BadSample_13"	"HG00120"	0.298
"BadSample_13"	"HG00121"	0.303
"BadSample_13"	"HG00122"	0.304
"BadSample_13"	"HG00123"	0.299
"BadSample_13"	"HG00125"	0.3026
"BadSample_13"	"HG00126"	0.2965
"BadSample_13"	"HG00127"	0.3026
"BadSample_13"	"HG00128"	0.3024
"BadSample_13"	"HG00129"	0.2974
"BadSample_13"	"HG00130"	0.2976
"BadSample_13"	"HG00131"	0.2956
"BadSample_13"	"HG00132"	0.2979
"BadSample_13"	"HG00133"	0.3066
"BadSample_13"	"HG00136"	0.3021
"BadSample_13"	"HG00137"	0.2991
"BadSample_13"	"HG00138"	0.3069
"BadSample_13"	"HG00139"	0.3004
"BadSample_13"	"HG00140"	0.3045
"BadSample_13"	"HG00141"	0.2997
"BadSample_13"	"HG00142"	0.3009
"BadSample_13"	"HG00143"	0.3107
"BadSample_13"	"HG00145"	0.2974
"BadSample_13"	"HG00146"	0.3081
"BadSample_13"	"HG00148"	0.3056
"BadSample_13"	"HG00149"	0.3021
"BadSample_13"	"HG00150"	0.2988
"BadSample_13"	"HG00151"	0.2935
"BadSample_13"	"HG00154"	0.3095
"BadSample_13"	"HG00155"	0.2977
"BadSample_13"	"HG00157"	0.3091
"BadSample_13"	"HG00158"	0.3006
"BadSample_13"	"HG00159"	0.2955
"BadSample_13"	"HG00160"	0.2934
"BadSample_13"	"HG00171"	0.3
"BadSample_13"	"HG00173"	0.3011
"BadSample_13"	"HG00174"	0.3078
"BadSample_13"	"HG00176"	0.3013
"BadSample_13"	"HG00177"	0.3024
"BadSample_13"	"HG00178"	0.2924
"BadSample_13"	"HG00179"	0.3018
"BadSample_13"	"HG00180"	0.2946
"BadSample_13"	"HG00181"	0.2996
"BadSample_13"	"HG00182"	0.2897
"BadSample_13"	"HG00183"	0.2968
"BadSample_13"	"HG00185"	0.2963
"BadSample_13"	"HG00186"	0.3007
"BadSample_13"	"HG00187"	0.2886
"BadSample_13"	"HG00188"	0.2912
"BadSample_13"	"HG00189"	0.3029
"BadSample_13"	"HG00190"	0.2951
"BadSample_13"	"HG00231"	0.3032
"BadSample_13"	"HG00232"	0.3047
"BadSample_13"	"HG00233"	0.306
"BadSample_13"	"HG00234"	0.2995
"BadSample_13"	"HG00235"	0.2992
"BadSample_13"	"HG00236"	0.2968
"BadSample_13"	"HG00237"	0.3005
"BadSample_13"	"HG00238"	0.2969
"BadSample_13"	"HG00239"	0.2908
"BadSample_13"	"HG00240"	0.3003
"BadSample_13"	"HG00242"	0.307
"BadSample_13"	"HG00243"	0.3052
"BadSample_13"	"HG00244"	0.3177
"BadSample_13"	"HG00245"	0.298
"BadSample_13"	"HG00246"	0.3008
"BadSample_13"	"HG00250"	0.3007
"BadSample_13"	"HG00251"	0.3031
"BadSample_13"	"HG00252"	0.2999
"BadSample_13"	"HG00253"	0.2991
"BadSample_13"	"HG00254"	0.3046
"BadSample_13"	"HG00255"	0.3012
"BadSample_13"	"HG00256"	0.2985
"BadSample_13"	"HG00257"	0.3002
"BadSample_13"	"HG00258"	0.3089
"BadSample_13"	"HG00259"	0.3064
"BadSample_13"	"HG00260"	0.2995
"BadSample_13"	"HG00261"	0.2981
"BadSample_13"	"HG00262"	0.3127
"BadSample_13"	"HG00263"	0.2988
"BadSample_13"	"HG00264"	0.3036
"BadSample_13"	"HG00265"	0.2924
"BadSample_13"	"HG00266"	0.2934
"BadSample_13"	"HG00267"	0.2892
"BadSample_13"	"HG00268"	0.3018
"BadSample_13"	"HG00269"	0.2933
"BadSample_13"	"HG00271"	0.2995
"BadSample_13"	"HG00272"	0.2884
"BadSample_13"	"HG00273"	0.286
"BadSample_13"	"HG00274"	0.308
"BadSample_13"	"HG00275"	0.308
"BadSample_13"	"HG00276"	0.2893
"BadSample_13"	"HG00277"	0.3013
"BadSample_13"	"HG00278"	0.2951
"BadSample_13"	"HG00280"	0.3029
"BadSample_13"	"HG00281"	0.3085
"BadSample_13"	"HG00282"	0.2918
"BadSample_13"	"HG00284"	0.2992
"BadSample_13"	"HG00285"	0.2924
"BadSample_13"	"HG00288"	0.2906
"BadSample_13"	"HG00290"	0.2838
"BadSample_13"	"HG00304"	0.2952
"BadSample_13"	"HG00306"	0.2997
"BadSample_13"	"HG00308"	0.2967
"BadSample_13"	"HG00309"	0.2891
"BadSample_13"	"HG00310"	0.2957
"BadSample_13"	"HG00311"	0.3002
"BadSample_13"	"HG00313"	0.2942
"BadSample_13"	"HG00315"	0.2951
"BadSample_13"	"HG00318"	0.2975
"BadSample_13"	"HG00319"	0.2995
"BadSample_13"	"HG00320"	0.2904
"BadSample_13"	"HG00321"	0.2863
"BadSample_13"	"HG00323"	0.2851
"BadSample_13"	"HG00324"	0.2863
"BadSample_13"	"HG00325"	0.2942
"BadSample_13"	"HG00326"	0.2901
"BadSample_13"	"HG00327"	0.2978
"BadSample_13"	"HG00328"	0.304
"BadSample_13"	"HG00329"	0.2998
"BadSample_13"	"HG00330"	0.3025
"BadSample_13"	"HG00331"	0.3024
"BadSample_13"	"HG00332"	0.3049
"BadSample_13"	"HG00334"	0.2991
"BadSample_13"	"HG00335"	0.3056
"BadSample_13"	"HG00336"	0.2997
"BadSample_13"	"HG00337"	0.307
"BadSample_13"	"HG00338"	0.2993
"BadSample_13"	"HG00339"	0.2984
"BadSample_13"	"HG00341"	0.2824
"BadSample_13"	"HG00342"	0.2862
"BadSample_13"	"HG00343"	0.296
"BadSample_13"	"HG00344"	0.3038
"BadSample_13"	"HG00345"	0.2905
"BadSample_13"	"HG00346"	0.2809
"BadSample_13"	"HG00349"	0.2925
"BadSample_13"	"HG00350"	0.2978
"BadSample_13"	"HG00351"	0.2904
"BadSample_13"	"HG00353"	0.298
"BadSample_13"	"HG00355"	0.3082
"BadSample_13"	"HG00356"	0.2937
"BadSample_13"	"HG00357"	0.2929
"BadSample_13"	"HG00358"	0.3012
"BadSample_13"	"HG00360"	0.2932
"BadSample_13"	"HG00361"	0.2997
"BadSample_13"	"HG00362"	0.3025
"BadSample_13"	"HG00364"	0.2954
"BadSample_13"	"HG00365"	0.2968
"BadSample_13"	"HG00366"	0.2823
"BadSample_13"	"HG00367"	0.2967
"BadSample_13"	"HG00368"	0.2941
"BadSample_13"	"HG00369"	0.2983
"BadSample_13"	"HG00371"	0.2985
"BadSample_13"	"HG00372"	0.2995
"BadSample_13"	"HG00373"	0.2932
"BadSample_13"	"HG00375"	0.2945
"BadSample_13"	"HG00376"	0.2954
"BadSample_13"	"HG00378"	0.2953
"BadSample_13"	"HG00379"	0.2939
"BadSample_13"	"HG00380"	0.3007
"BadSample_13"	"HG00381"	0.2977
"BadSample_13"	"HG00382"	0.3003
"BadSample_13"	"HG00383"	0.2882
"BadSample_13"	"HG00384"	0.3016
"BadSample_13"	"HG00551"	0.2811
"BadSample_13"	"HG00553"	0.2607
"BadSample_13"	"HG00554"	0.2848
"BadSample_13"	"HG00637"	0.2799
"BadSample_13"	"HG00638"	0.2644
"BadSample_13"	"HG01334"	0.3074
"BadSample_13"	"HG01500"	0.2996
"BadSample_13"	"HG01501"	0.2873
"BadSample_13"	"HG01503"	0.2981
"BadSample_13"	"HG01504"	0.2912
"BadSample_13"	"HG01506"	0.2951
"BadSample_13"	"HG01507"	0.2986
"BadSample_13"	"HG01509"	0.2977
"BadSample_13"	"HG01510"	0.302
"BadSample_13"	"HG01512"	0.2999
"BadSample_13"	"HG01513"	0.2936
"BadSample_13"	"HG01515"	0.3007
"BadSample_13"	"HG01516"	0.2965
"BadSample_13"	"HG01518"	0.2954
"BadSample_13"	"HG01519"	0.3013
"BadSample_13"	"HG01521"	0.3004
"BadSample_13"	"HG01522"	0.2885
"BadSample_13"	"HG01524"	0.2982
"BadSample_13"	"HG01525"	0.304
"BadSample_13"	"HG01527"	0.2935
"BadSample_13"	"HG01528"	0.2893
"BadSample_13"	"HG01530"	0.3047
"BadSample_13"	"HG01531"	0.2817
"BadSample_13"	"HG01536"	0.2906
"BadSample_13"	"HG01537"	0.2977
"BadSample_13"	"HG01583"	0.2475
"BadSample_13"	"HG01586"	0.2498
"BadSample_13"	"HG01589"	0.2274
"BadSample_13"	"HG01593"	0.2458
"BadSample_13"	"HG01602"	0.2895
"BadSample_13"	"HG01603"	0.3014
"BadSample_13"	"HG01605"	0.298
"BadSample_13"	"HG01606"	0.2983
"BadSample_13"	"HG01607"	0.2962
"BadSample_13"	"HG01608"	0.2927
"BadSample_13"	"HG01610"	0.2842
"BadSample_13"	"HG01612"	0.2974
"BadSample_13"	"HG01613"	0.2928
"BadSample_13"	"HG01615"	0.2929
"BadSample_13"	"HG01617"	0.2947
"BadSample_13"	"HG01618"	0.2911
"BadSample_13"	"HG01619"	0.2966
"BadSample_13"	"HG01620"	0.2987
"BadSample_13"	"HG01623"	0.2962
"BadSample_13"	"HG01624"	0.2953
"BadSample_13"	"HG01625"	0.2973
"BadSample_13"	"HG01626"	0.2906
"BadSample_13"	"HG01628"	0.288
"BadSample_13"	"HG01630"	0.2866
"BadSample_13"	"HG01631"	0.2904
"BadSample_13"	"HG01632"	0.2898
"BadSample_13"	"HG01668"	0.2968
"BadSample_13"	"HG01669"	0.2944
"BadSample_13"	"HG01670"	0.2916
"BadSample_13"	"HG01672"	0.2888
"BadSample_13"	"HG01673"	0.2926
"BadSample_13"	"HG01675"	0.2976
"BadSample_13"	"HG01676"	0.2993
"BadSample_13"	"HG01678"	0.2885
"BadSample_13"	"HG01679"	0.2792
"BadSample_13"	"HG01680"	0.2943
"BadSample_13"	"HG01682"	0.3005
"BadSample_13"	"HG01684"	0.3123
"BadSample_13"	"HG01685"	0.3023
"BadSample_13"	"HG01686"	0.2924
"BadSample_13"	"HG01694"	0.2859
"BadSample_13"	"HG01695"	0.2911
"BadSample_13"	"HG01697"	0.2975
"BadSample_13"	"HG01699"	0.2933
"BadSample_13"	"HG01700"	0.2827
"BadSample_13"	"HG01702"	0.2895
"BadSample_13"	"HG01704"	0.2927
"BadSample_13"	"HG01705"	0.2844
