"IID1"	"IID2"	"PI_HAT"
"BadSample_3"	"HG00275"	0.2193
"BadSample_3"	"HG00276"	0.2222
"BadSample_3"	"HG00277"	0.2196
"BadSample_3"	"HG00278"	0.2137
"BadSample_3"	"HG00280"	0.2219
"BadSample_3"	"HG00281"	0.2185
"BadSample_3"	"HG00282"	0.2228
"BadSample_3"	"HG00284"	0.2186
"BadSample_3"	"HG00285"	0.2176
"BadSample_3"	"HG00288"	0.2174
"BadSample_3"	"HG00290"	0.2221
"BadSample_3"	"HG00304"	0.2251
"BadSample_3"	"HG00306"	0.2207
"BadSample_3"	"HG00308"	0.2181
"BadSample_3"	"HG00309"	0.2192
"BadSample_3"	"HG00310"	0.2289
"BadSample_3"	"HG00311"	0.2197
"BadSample_3"	"HG00313"	0.222
"BadSample_3"	"HG00315"	0.2155
"BadSample_3"	"HG00318"	0.2202
"BadSample_3"	"HG00319"	0.2239
"BadSample_3"	"HG00320"	0.2069
"BadSample_3"	"HG00321"	0.2119
"BadSample_3"	"HG00323"	0.223
"BadSample_3"	"HG00324"	0.2145
"BadSample_3"	"HG00325"	0.2137
"BadSample_3"	"HG00326"	0.2174
"BadSample_3"	"HG00327"	0.2218
"BadSample_3"	"HG00328"	0.2183
"BadSample_3"	"HG00329"	0.2208
"BadSample_3"	"HG00330"	0.217
"BadSample_3"	"HG00331"	0.216
"BadSample_3"	"HG00332"	0.227
"BadSample_3"	"HG00334"	0.2222
"BadSample_3"	"HG00335"	0.22
"BadSample_3"	"HG00336"	0.2216
"BadSample_3"	"HG00337"	0.2202
"BadSample_3"	"HG00338"	0.2148
"BadSample_3"	"HG00339"	0.2255
"BadSample_3"	"HG00341"	0.2067
"BadSample_3"	"HG00342"	0.2165
"BadSample_3"	"HG00343"	0.2164
"BadSample_3"	"HG00344"	0.2272
"BadSample_3"	"HG00345"	0.2176
"BadSample_3"	"HG00346"	0.2187
"BadSample_3"	"HG00349"	0.2205
"BadSample_3"	"HG00350"	0.2189
"BadSample_3"	"HG00351"	0.2139
"BadSample_3"	"HG00353"	0.2309
"BadSample_3"	"HG00355"	0.2304
"BadSample_3"	"HG00356"	0.2172
"BadSample_3"	"HG00357"	0.2224
"BadSample_3"	"HG00358"	0.2208
"BadSample_3"	"HG00360"	0.2211
"BadSample_3"	"HG00361"	0.2184
"BadSample_3"	"HG00362"	0.2231
"BadSample_3"	"HG00364"	0.2227
"BadSample_3"	"HG00365"	0.224
"BadSample_3"	"HG00366"	0.2258
"BadSample_3"	"HG00367"	0.2215
"BadSample_3"	"HG00368"	0.2191
"BadSample_3"	"HG00369"	0.2213
"BadSample_3"	"HG00371"	0.2226
"BadSample_3"	"HG00372"	0.2234
"BadSample_3"	"HG00373"	0.2159
"BadSample_3"	"HG00375"	0.2191
"BadSample_3"	"HG00376"	0.2197
"BadSample_3"	"HG00378"	0.2191
"BadSample_3"	"HG00379"	0.223
"BadSample_3"	"HG00380"	0.2155
"BadSample_3"	"HG00381"	0.2296
"BadSample_3"	"HG00382"	0.2108
"BadSample_3"	"HG00383"	0.2162
"BadSample_3"	"HG00384"	0.2179
"BadSample_3"	"HG00551"	0.2127
"BadSample_3"	"HG00553"	0.2014
"BadSample_3"	"HG00554"	0.213
"BadSample_3"	"HG00637"	0.2074
"BadSample_3"	"HG00638"	0.2026
"BadSample_3"	"HG01334"	0.2207
"BadSample_3"	"HG01500"	0.2186
"BadSample_3"	"HG01501"	0.2215
"BadSample_3"	"HG01503"	0.2184
"BadSample_3"	"HG01504"	0.2237
"BadSample_3"	"HG01506"	0.2137
"BadSample_3"	"HG01507"	0.2256
"BadSample_3"	"HG01509"	0.2173
"BadSample_3"	"HG01510"	0.22
"BadSample_3"	"HG01512"	0.2122
"BadSample_3"	"HG01513"	0.2191
"BadSample_3"	"HG01515"	0.2181
"BadSample_3"	"HG01516"	0.218
"BadSample_3"	"HG01518"	0.2197
"BadSample_3"	"HG01519"	0.2181
"BadSample_3"	"HG01521"	0.2255
"BadSample_3"	"HG01522"	0.2183
"BadSample_3"	"HG01524"	0.2261
"BadSample_3"	"HG01525"	0.2217
"BadSample_3"	"HG01527"	0.2199
"BadSample_3"	"HG01528"	0.2147
"BadSample_3"	"HG01530"	0.2233
"BadSample_3"	"HG01531"	0.2107
"BadSample_3"	"HG01536"	0.221
"BadSample_3"	"HG01537"	0.2186
"BadSample_3"	"HG01602"	0.2197
"BadSample_3"	"HG01603"	0.2257
"BadSample_3"	"HG01605"	0.2208
"BadSample_3"	"HG01606"	0.2138
"BadSample_3"	"HG01607"	0.226
"BadSample_3"	"HG01608"	0.2163
"BadSample_3"	"HG01610"	0.2069
"BadSample_3"	"HG01612"	0.2258
"BadSample_3"	"HG01613"	0.2273
"BadSample_3"	"HG01615"	0.2186
"BadSample_3"	"HG01617"	0.2187
"BadSample_3"	"HG01618"	0.2207
"BadSample_3"	"HG01619"	0.2232
"BadSample_3"	"HG01620"	0.2202
"BadSample_3"	"HG01623"	0.2149
"BadSample_3"	"HG01624"	0.2172
"BadSample_3"	"HG01625"	0.2256
"BadSample_3"	"HG01626"	0.2193
"BadSample_3"	"HG01628"	0.2115
"BadSample_3"	"HG01630"	0.2125
"BadSample_3"	"HG01631"	0.2265
"BadSample_3"	"HG01632"	0.2194
"BadSample_3"	"HG01668"	0.2222
"BadSample_3"	"HG01669"	0.2117
"BadSample_3"	"HG01670"	0.2151
"BadSample_3"	"HG01672"	0.2212
"BadSample_3"	"HG01673"	0.2209
"BadSample_3"	"HG01675"	0.2213
"BadSample_3"	"HG01676"	0.217
"BadSample_3"	"HG01678"	0.213
"BadSample_3"	"HG01679"	0.2087
"BadSample_3"	"HG01680"	0.2175
"BadSample_3"	"HG01682"	0.225
"BadSample_3"	"HG01684"	0.2255
"BadSample_3"	"HG01685"	0.2266
"BadSample_3"	"HG01686"	0.2178
"BadSample_3"	"HG01694"	0.2097
"BadSample_3"	"HG01695"	0.2179
"BadSample_3"	"HG01697"	0.2208
"BadSample_3"	"HG01699"	0.2213
"BadSample_3"	"HG01700"	0.2233
"BadSample_3"	"HG01702"	0.2168
"BadSample_3"	"HG01704"	0.228
"BadSample_3"	"HG01705"	0.2236
"BadSample_3"	"HG01707"	0.2175
"BadSample_3"	"HG01708"	0.2226
"BadSample_3"	"HG01709"	0.2253
"BadSample_3"	"HG01710"	0.2242
"BadSample_3"	"HG01746"	0.2115
"BadSample_3"	"HG01747"	0.2245
"BadSample_3"	"HG01756"	0.2217
"BadSample_3"	"HG01757"	0.2193
"BadSample_3"	"HG01761"	0.2189
"BadSample_3"	"HG01762"	0.2192
"BadSample_3"	"HG01765"	0.2175
"BadSample_3"	"HG01766"	0.2199
"BadSample_3"	"HG01767"	0.225
"BadSample_3"	"HG01768"	0.2203
"BadSample_3"	"HG01770"	0.2273
"BadSample_3"	"HG01771"	0.2219
"BadSample_3"	"HG01773"	0.2218
"BadSample_3"	"HG01775"	0.2193
"BadSample_3"	"HG01776"	0.2164
"BadSample_3"	"HG01777"	0.2244
"BadSample_3"	"HG01779"	0.22
"BadSample_3"	"HG01781"	0.2228
"BadSample_3"	"HG01783"	0.212
"BadSample_3"	"HG01784"	0.2103
"BadSample_3"	"HG01785"	0.2163
"BadSample_3"	"HG01786"	0.2189
"BadSample_3"	"HG01789"	0.2241
"BadSample_3"	"HG01790"	0.2187
"BadSample_3"	"HG01791"	0.225
"BadSample_3"	"HG02215"	0.2188
"BadSample_3"	"HG02219"	0.2198
"BadSample_3"	"HG02220"	0.22
"BadSample_3"	"HG02221"	0.2237
"BadSample_3"	"HG02223"	0.2238
"BadSample_3"	"HG02224"	0.2282
"BadSample_3"	"HG02230"	0.224
"BadSample_3"	"HG02231"	0.2305
"BadSample_3"	"HG02232"	0.2188
"BadSample_3"	"HG02233"	0.2188
"BadSample_3"	"HG02235"	0.2225
"BadSample_3"	"HG02236"	0.2229
"BadSample_3"	"HG02238"	0.2135
"BadSample_3"	"HG02239"	0.2229
"BadSample_3"	"NA06984"	0.2213
"BadSample_3"	"NA06985"	0.2199
"BadSample_3"	"NA06986"	0.2207
"BadSample_3"	"NA06989"	0.2223
"BadSample_3"	"NA06994"	0.2213
"BadSample_3"	"NA07000"	0.2244
"BadSample_3"	"NA07037"	0.2226
"BadSample_3"	"NA07048"	0.221
"BadSample_3"	"NA07051"	0.2232
"BadSample_3"	"NA07056"	0.2254
"BadSample_3"	"NA07347"	0.2226
"BadSample_3"	"NA07357"	0.2252
"BadSample_3"	"NA10847"	0.2275
"BadSample_3"	"NA10851"	0.2166
"BadSample_3"	"NA11829"	0.2323
"BadSample_3"	"NA11830"	0.2212
"BadSample_3"	"NA11831"	0.2213
"BadSample_3"	"NA11832"	0.2219
"BadSample_3"	"NA11840"	0.2208
"BadSample_3"	"NA11843"	0.2223
"BadSample_3"	"NA11881"	0.2215
"BadSample_3"	"NA11892"	0.2191
"BadSample_3"	"NA11893"	0.2234
"BadSample_3"	"NA11894"	0.2212
"BadSample_3"	"NA11918"	0.22
"BadSample_3"	"NA11919"	0.224
"BadSample_3"	"NA11920"	0.2177
"BadSample_3"	"NA11930"	0.2277
"BadSample_3"	"NA11931"	0.218
"BadSample_3"	"NA11932"	0.2195
"BadSample_3"	"NA11933"	0.2156
"BadSample_3"	"NA11992"	0.2197
"BadSample_3"	"NA11994"	0.2181
"BadSample_3"	"NA11995"	0.2263
"BadSample_3"	"NA12003"	0.2241
"BadSample_3"	"NA12004"	0.2196
"BadSample_3"	"NA12005"	0.2182
"BadSample_3"	"NA12006"	0.2314
"BadSample_3"	"NA12043"	0.2296
"BadSample_3"	"NA12044"	0.224
"BadSample_3"	"NA12045"	0.2173
"BadSample_3"	"NA12046"	0.2302
"BadSample_3"	"NA12058"	0.2158
"BadSample_3"	"NA12144"	0.2246
"BadSample_3"	"NA12154"	0.2251
"BadSample_3"	"NA12155"	0.2192
"BadSample_3"	"NA12156"	0.2255
"BadSample_3"	"NA12234"	0.2257
"BadSample_3"	"NA12249"	0.225
"BadSample_3"	"NA12272"	0.2245
"BadSample_3"	"NA12273"	0.2207
"BadSample_3"	"NA12275"	0.2305
"BadSample_3"	"NA12282"	0.2275
"BadSample_3"	"NA12283"	0.222
"BadSample_3"	"NA12286"	0.2252
"BadSample_3"	"NA12287"	0.2283
"BadSample_3"	"NA12340"	0.2292
"BadSample_3"	"NA12341"	0.2212
"BadSample_3"	"NA12342"	0.2145
"BadSample_3"	"NA12347"	0.2275
"BadSample_3"	"NA12348"	0.2193
"BadSample_3"	"NA12383"	0.2218
"BadSample_3"	"NA12399"	0.2202
"BadSample_3"	"NA12400"	0.2259
"BadSample_3"	"NA12413"	0.2208
"BadSample_3"	"NA12414"	0.2169
"BadSample_3"	"NA12489"	0.2209
"BadSample_3"	"NA12546"	0.2192
"BadSample_3"	"NA12716"	0.2248
"BadSample_3"	"NA12717"	0.2192
"BadSample_3"	"NA12718"	0.2294
"BadSample_3"	"NA12748"	0.2247
"BadSample_3"	"NA12749"	0.2265
"BadSample_3"	"NA12750"	0.2228
"BadSample_3"	"NA12751"	0.2204
"BadSample_3"	"NA12760"	0.2216
"BadSample_3"	"NA12761"	0.2243
"BadSample_3"	"NA12762"	0.2234
"BadSample_3"	"NA12763"	0.2224
"BadSample_3"	"NA12775"	0.2322
"BadSample_3"	"NA12776"	0.2238
"BadSample_3"	"NA12777"	0.2232
"BadSample_3"	"NA12778"	0.2239
"BadSample_3"	"NA12812"	0.2206
"BadSample_3"	"NA12813"	0.226
"BadSample_3"	"NA12814"	0.2187
"BadSample_3"	"NA12815"	0.2226
"BadSample_3"	"NA12827"	0.2209
"BadSample_3"	"NA12828"	0.2245
"BadSample_3"	"NA12829"	0.2201
"BadSample_3"	"NA12830"	0.2261
"BadSample_3"	"NA12842"	0.2263
"BadSample_3"	"NA12843"	0.2243
"BadSample_3"	"NA12872"	0.2245
"BadSample_3"	"NA12873"	0.2226
"BadSample_3"	"NA12874"	0.2055
"BadSample_3"	"NA12878"	0.2178
"BadSample_3"	"NA12889"	0.2217
"BadSample_3"	"NA12890"	0.2207
"BadSample_3"	"NA20502"	0.213
"BadSample_3"	"NA20503"	0.2145
"BadSample_3"	"NA20504"	0.2264
"BadSample_3"	"NA20505"	0.2246
"BadSample_3"	"NA20506"	0.2148
"BadSample_3"	"NA20507"	0.2192
"BadSample_3"	"NA20508"	0.2167
"BadSample_3"	"NA20509"	0.2173
"BadSample_3"	"NA20510"	0.2253
"BadSample_3"	"NA20511"	0.2241
"BadSample_3"	"NA20512"	0.2205
"BadSample_3"	"NA20513"	0.2131
"BadSample_3"	"NA20514"	0.2228
"BadSample_3"	"NA20515"	0.2171
"BadSample_3"	"NA20516"	0.2195
"BadSample_3"	"NA20517"	0.2186
