"ID"	"Population"	"Sex"	"V3"	"V4"
"NA19794"	"MXL"	"m039"	-0.00839264	-0.00010045
"NA19795"	"MXL"	"m039"	-0.00447172	0.00759614
"NA19818"	"ASW"	"2418"	0.0397851	-0.0130724
"NA19819"	"ASW"	"2418"	0.0396453	-0.0134132
"NA19834"	"ASW"	"2424"	0.0412357	-0.0140156
"NA19835"	"ASW"	"2424"	0.048313	-0.012465
"NA19900"	"ASW"	"2425"	0.0473328	-0.0128368
"NA19901"	"ASW"	"2425"	0.0535318	-0.0132322
"NA19904"	"ASW"	"2426"	0.0465834	-0.0131161
"NA19908"	"ASW"	"2427"	0.0521483	-0.0130645
"NA19909"	"ASW"	"2427"	0.0515219	-0.013098
"NA19914"	"ASW"	"2430"	0.0376507	-0.0135902
"NA19916"	"ASW"	"2431"	0.052619	-0.0131711
"NA19917"	"ASW"	"2431"	0.0532716	-0.0135047
"NA19920"	"ASW"	"2433"	0.0537667	-0.0134018
"NA19921"	"ASW"	"2433"	0.0300052	-0.00850236
"NA19922"	"ASW"	"2434"	0.0385493	-0.0131733
"NA19923"	"ASW"	"2434"	0.0311263	-0.0138063
"NA19982"	"ASW"	"2436"	0.0508953	-0.0131508
"NA19984"	"ASW"	"2437a"	0.0507742	-0.013807
"NA19985"	"ASW"	"2437"	0.0403566	-0.0135576
"NA20126"	"ASW"	"2446"	0.037714	-0.0125503
"NA20127"	"ASW"	"2446"	0.0539032	-0.0133419
"NA20276"	"ASW"	"2466"	0.0464971	-0.0135147
"NA20278"	"ASW"	"2467"	0.0216731	-0.0139185
"NA20281"	"ASW"	"2469"	0.0482791	-0.0127619
"NA20282"	"ASW"	"2469"	0.0393924	-0.0123569
"NA20287"	"ASW"	"2470"	0.0472516	-0.0126436
"NA20289"	"ASW"	"2471"	0.0445008	-0.0134504
"NA20291"	"ASW"	"2472"	0.058466	-0.0136576
"NA20294"	"ASW"	"2474"	0.0498238	-0.0134711
"NA20296"	"ASW"	"2475"	0.0437846	-0.0125498
"NA20298"	"ASW"	"2476a"	0.0548935	-0.0124888
"NA20299"	"ASW"	"2476"	0.021702	0.00721722
"NA20314"	"ASW"	"2479"	-0.00748108	0.0166225
"NA20317"	"ASW"	"2480"	0.0384751	-0.0141562
"NA20322"	"ASW"	"2481"	0.0424	-0.0135152
"NA20332"	"ASW"	"2483"	0.0443322	-0.013132
"NA20334"	"ASW"	"2484"	0.0342844	-0.0136825
"NA20336"	"ASW"	"2485"	0.0326553	-0.0127926
"NA20339"	"ASW"	"2486"	0.0509106	-0.0119
"NA20340"	"ASW"	"2487"	0.0492205	-0.0133099
"NA20341"	"ASW"	"2487"	0.0454098	-0.0130901
"NA20342"	"ASW"	"2488"	0.0307987	-0.0125798
"NA20344"	"ASW"	"2489"	0.0429231	-0.0133452
"NA20346"	"ASW"	"2490"	0.0478828	-0.0121745
"NA20348"	"ASW"	"2491"	0.0490731	-0.012706
"NA20351"	"ASW"	"2493"	0.0360817	-0.0129954
"NA20356"	"ASW"	"2494"	0.0508735	-0.013256
"NA20357"	"ASW"	"2494"	0.0524223	-0.0125888
"NA20359"	"ASW"	"2495"	0.0419721	-0.0129517
"NA20363"	"ASW"	"2496"	0.0378746	-0.0128668
"NA20412"	"ASW"	"2505"	0.0432626	-0.0118972
"NA20412"	"ASW"	"2505"	0.0432626	-0.0118972
"NA20414"	"ASW"	"2506"	0.0122641	0.00683624
"NA20502"	"TSI"	"female"	-0.0141784	-0.014206
"NA20502_vss"	"VSS"	"female"	-0.0141968	-0.0142076
"NA20503"	"TSI"	"female"	-0.0143615	-0.014138
"NA20503_vss"	"VSS"	"female"	-0.0143934	-0.0141613
"NA20504"	"TSI"	"female"	-0.013941	-0.0134949
"NA20504_vss"	"VSS"	"female"	-0.0140238	-0.0134952
"NA20505"	"TSI"	"female"	-0.0140001	-0.0151487
"NA20505_vss"	"VSS"	"female"	-0.0140633	-0.0151453
"NA20506"	"TSI"	"female"	-0.0140462	-0.0135979
"NA20506_vss"	"VSS"	"female"	-0.0140832	-0.0135888
"NA20507"	"TSI"	"female"	-0.0139491	-0.0143203
"NA20507_vss"	"VSS"	"female"	-0.0140267	-0.0143236
"NA20508"	"TSI"	"female"	-0.0137998	-0.0142495
"NA20508_vss"	"VSS"	"female"	-0.0138153	-0.0142801
"NA20509"	"TSI"	"male"	-0.0133387	-0.014314
"NA20509_vss"	"VSS"	"male"	-0.0133767	-0.0143375
"NA20510"	"TSI"	"male"	-0.0139054	-0.0140178
"NA20510_vss"	"VSS"	"male"	-0.0139674	-0.0140265
"NA20511_vss"	"VSS"	"male"	-0.0136647	-0.0140317
"NA20512"	"TSI"	"male"	-0.014223	-0.0141387
"NA20512_vss"	"VSS"	"male"	-0.0142844	-0.014171
"NA20513"	"TSI"	"male"	-0.0134134	-0.0134477
"NA20513_vss"	"VSS"	"male"	-0.0134875	-0.0134589
"NA20514_vss"	"VSS"	"female"	-0.014168	-0.0136213
"NA20515"	"TSI"	"male"	-0.0141507	-0.0145863
"NA20515_vss"	"VSS"	"male"	-0.0141977	-0.0145816
"NA20516"	"TSI"	"male"	-0.0144579	-0.0135858
"NA20516_vss"	"VSS"	"male"	-0.0145107	-0.0136146
"NA20517"	"TSI"	"female"	-0.0141534	-0.0141135
"NA20517_vss"	"VSS"	"female"	-0.0142046	-0.0141033
"NA20518"	"TSI"	"male"	-0.0139538	-0.0144013
"NA20518_vss"	"VSS"	"male"	-0.0140236	-0.0144436
"NA20519"	"TSI"	"male"	-0.0137654	-0.0140566
"NA20519_vss"	"VSS"	"male"	-0.0137935	-0.0140612
"NA20520"	"TSI"	"male"	-0.0136147	-0.0139095
"NA20520_vss"	"VSS"	"male"	-0.0136549	-0.0139087
"NA20521"	"TSI"	"male"	-0.0137911	-0.0149927
"NA20521_vss"	"VSS"	"male"	-0.0138452	-0.0150144
"NA20522"	"TSI"	"female"	-0.0139587	-0.0139217
"NA20522_vss"	"VSS"	"female"	-0.0140241	-0.0139305
"NA20524"	"TSI"	"male"	-0.0142122	-0.0139792
"NA20524_vss"	"VSS"	"male"	-0.0142702	-0.0139855
"NA20525"	"TSI"	"male"	-0.0136021	-0.0144264
"NA20525_vss"	"VSS"	"male"	-0.0136557	-0.014444
"NA20527"	"TSI"	"male"	-0.0140551	-0.0138921
"NA20527_vss"	"VSS"	"male"	-0.0141528	-0.013915
"NA20528"	"TSI"	"male"	-0.0137379	-0.0137549
"NA20528_vss"	"VSS"	"male"	-0.0137891	-0.0137477
"NA20529"	"TSI"	"female"	-0.01337	-0.0144794
"NA20529_vss"	"VSS"	"female"	-0.0134271	-0.0145027
"NA20530"	"TSI"	"female"	-0.0141004	-0.0141334
"NA20530_vss"	"VSS"	"female"	-0.0141777	-0.0141124
"NA20531"	"TSI"	"female"	-0.0138929	-0.0135669
"NA20531_vss"	"VSS"	"female"	-0.0139552	-0.013584
"NA20532"	"TSI"	"male"	-0.0137948	-0.0142353
"NA20532_vss"	"VSS"	"male"	-0.0137798	-0.0141774
"NA20533"	"TSI"	"female"	-0.0139483	-0.0147643
"NA20533_vss"	"VSS"	"female"	-0.0140045	-0.0148043
"NA20534"	"TSI"	"male"	-0.0140781	-0.0144656
"NA20534_vss"	"VSS"	"male"	-0.0141252	-0.0144486
"NA20535"	"TSI"	"female"	-0.0140492	-0.0148228
"NA20535_vss"	"VSS"	"female"	-0.0140777	-0.014841
"NA20536"	"TSI"	"male"	-0.0135904	-0.0141356
"NA20536_vss"	"VSS"	"male"	-0.0136464	-0.0141287
"NA20537"	"TSI"	"male"	-0.0137946	-0.0157404
"NA20538"	"TSI"	"male"	-0.0132286	-0.0143794
"NA20538_vss"	"VSS"	"male"	-0.0132997	-0.0144003
"NA20539"	"TSI"	"male"	-0.0135936	-0.0146581
"NA20539_vss"	"VSS"	"male"	-0.0136289	-0.014681
"NA20540"	"TSI"	"female"	-0.0145077	-0.0148451
"NA20540_vss"	"VSS"	"female"	-0.0145402	-0.0148672
"NA20541"	"TSI"	"female"	-0.0140957	-0.01431
"NA20541_vss"	"VSS"	"female"	-0.0141244	-0.0143422
"NA20542"	"TSI"	"female"	-0.0138881	-0.0133166
"NA20542_vss"	"VSS"	"female"	-0.0138646	-0.0133214
"NA20543"	"TSI"	"male"	-0.013636	-0.0147943
"NA20543_vss"	"VSS"	"male"	-0.0136334	-0.0147718
"NA20544"	"TSI"	"male"	-0.013955	-0.0140471
"NA20544_vss"	"VSS"	"male"	-0.0139445	-0.0140067
"NA20581"	"TSI"	"male"	-0.0139467	-0.0143274
"NA20581_vss"	"VSS"	"male"	-0.0139379	-0.0143307
"NA20582"	"TSI"	"female"	-0.0139743	-0.014203
"NA20582_vss"	"VSS"	"female"	-0.0139694	-0.0141853
"NA20585"	"TSI"	"female"	-0.0138095	-0.0135137
"NA20585_vss"	"VSS"	"female"	-0.0137889	-0.0135009
"NA20586"	"TSI"	"male"	-0.013941	-0.0151868
"NA20586_vss"	"VSS"	"male"	-0.0139387	-0.0151807
"NA20587_vss"	"VSS"	"female"	-0.0139335	-0.0140943
"NA20588"	"TSI"	"male"	-0.0140517	-0.0146984
"NA20588_vss"	"VSS"	"male"	-0.0140672	-0.0146929
"NA20589"	"TSI"	"female"	-0.0134205	-0.0145837
"NA20589_vss"	"VSS"	"female"	-0.0134076	-0.0145935
"NA20752"	"TSI"	"male"	-0.0139372	-0.0144267
"NA20752_vss"	"VSS"	"male"	-0.0139154	-0.0144229
"NA20753"	"TSI"	"female"	-0.0136493	-0.0140289
"NA20753_vss"	"VSS"	"female"	-0.0136056	-0.0140094
"NA20754"	"TSI"	"male"	-0.0136299	-0.0140676
"NA20754_vss"	"VSS"	"male"	-0.0136243	-0.0140699
"NA20755"	"TSI"	"male"	-0.0140579	-0.0151747
"NA20755_vss"	"VSS"	"male"	-0.0140506	-0.0151992
"NA20756"	"TSI"	"female"	-0.0134005	-0.0140003
"NA20756_vss"	"VSS"	"female"	-0.0133817	-0.0140134
"NA20757"	"TSI"	"female"	-0.0134756	-0.0139861
"NA20757_vss"	"VSS"	"female"	-0.0134591	-0.0139819
"NA20758"	"TSI"	"male"	-0.0136658	-0.01459
"NA20758_vss"	"VSS"	"male"	-0.0136529	-0.0145926
"NA20759"	"TSI"	"male"	-0.0140492	-0.0144124
"NA20759_vss"	"VSS"	"male"	-0.0140696	-0.0143916
"NA20760"	"TSI"	"female"	-0.0142613	-0.0137479
"NA20760_vss"	"VSS"	"female"	-0.0142445	-0.0137406
"NA20761"	"TSI"	"female"	-0.0140988	-0.0143322
"NA20761_vss"	"VSS"	"female"	-0.0140287	-0.0143326
"NA20762_vss"	"VSS"	"male"	-0.0134738	-0.0144882
"NA20763_vss"	"VSS"	"male"	-0.0143324	-0.0139219
"NA20764_vss"	"VSS"	"female"	-0.0138432	-0.0145736
"NA20765"	"TSI"	"male"	-0.0136327	-0.0145244
"NA20765_vss"	"VSS"	"male"	-0.013606	-0.0145311
"NA20766"	"TSI"	"female"	-0.0133701	-0.0143237
"NA20766_vss"	"VSS"	"female"	-0.0133883	-0.0143201
"NA20767_vss"	"VSS"	"male"	-0.013508	-0.0140436
"NA20768"	"TSI"	"female"	-0.0141437	-0.0146684
"NA20768_vss"	"VSS"	"female"	-0.0141397	-0.0146734
"NA20769"	"TSI"	"female"	-0.0140646	-0.0150291
"NA20769_vss"	"VSS"	"female"	-0.0140746	-0.0150152
"NA20770"	"TSI"	"male"	-0.0137491	-0.0139136
"NA20770_vss"	"VSS"	"male"	-0.0137362	-0.013938
"NA20771"	"TSI"	"female"	-0.0139416	-0.0148896
"NA20771_vss"	"VSS"	"female"	-0.013951	-0.0148979
"NA20772"	"TSI"	"female"	-0.0136825	-0.0143961
"NA20772_vss"	"VSS"	"female"	-0.0136784	-0.0143902
"NA20773"	"TSI"	"female"	-0.0139879	-0.0138201
"NA20773_vss"	"VSS"	"female"	-0.0139918	-0.013805
"NA20774"	"TSI"	"female"	-0.0134791	-0.0146509
"NA20774_vss"	"VSS"	"female"	-0.0134523	-0.0146122
"NA20775"	"TSI"	"female"	-0.0138308	-0.0141452
"NA20775_vss"	"VSS"	"female"	-0.0138157	-0.014127
"NA20778"	"TSI"	"male"	-0.0142587	-0.0147468
"NA20778_vss"	"VSS"	"male"	-0.0142586	-0.0147547
"NA20783"	"TSI"	"male"	-0.0137761	-0.0145411
"NA20783_vss"	"VSS"	"male"	-0.0137522	-0.0145424
"NA20785"	"TSI"	"male"	-0.0137318	-0.0135956
"NA20785_vss"	"VSS"	"male"	-0.0137237	-0.0136019
"NA20786"	"TSI"	"female"	-0.0138413	-0.0141856
"NA20786_vss"	"VSS"	"female"	-0.0138104	-0.0141819
"NA20787"	"TSI"	"male"	-0.0132335	-0.0145477
"NA20787_vss"	"VSS"	"male"	-0.0132207	-0.0145171
"NA20790"	"TSI"	"female"	-0.0141775	-0.0149462
"NA20790_vss"	"VSS"	"female"	-0.0141798	-0.014952
"NA20792"	"TSI"	"male"	-0.0143311	-0.0142245
"NA20792_vss"	"VSS"	"male"	-0.0143191	-0.014213
"NA20795"	"TSI"	"female"	-0.0136295	-0.0143171
"NA20795_vss"	"VSS"	"female"	-0.013612	-0.0143129
"NA20796"	"TSI"	"male"	-0.0142153	-0.0146089
"NA20796_vss"	"VSS"	"male"	-0.014225	-0.0146103
"NA20797"	"TSI"	"female"	-0.0135399	-0.014118
"NA20797_vss"	"VSS"	"female"	-0.0135436	-0.0141649
"NA20798"	"TSI"	"male"	-0.0141685	-0.013809
"NA20798_vss"	"VSS"	"male"	-0.0141537	-0.0137921
"NA20799"	"TSI"	"female"	-0.0142177	-0.0145187
"NA20799_vss"	"VSS"	"female"	-0.0142003	-0.0145143
"NA20800"	"TSI"	"female"	-0.0141369	-0.0148288
"NA20800_vss"	"VSS"	"female"	-0.0141379	-0.0148403
"NA20801"	"TSI"	"male"	-0.0143281	-0.0150899
"NA20801_vss"	"VSS"	"male"	-0.0143175	-0.0150981
"NA20802"	"TSI"	"female"	-0.0137313	-0.0143356
"NA20802_vss"	"VSS"	"female"	-0.0137196	-0.0143442
"NA20803"	"TSI"	"male"	-0.0141452	-0.0148429
"NA20803_vss"	"VSS"	"male"	-0.0141405	-0.01483
"NA20804"	"TSI"	"female"	-0.0140097	-0.0142451
"NA20804_vss"	"VSS"	"female"	-0.0139937	-0.0142337
"NA20805"	"TSI"	"male"	-0.014123	-0.0145625
"NA20805_vss"	"VSS"	"male"	-0.0141121	-0.0145978
"NA20806"	"TSI"	"male"	-0.0139422	-0.0147195
"NA20806_vss"	"VSS"	"male"	-0.0139558	-0.0146999
"NA20807"	"TSI"	"female"	-0.0142064	-0.0145526
"NA20807_vss"	"VSS"	"female"	-0.0142023	-0.0145673
"NA20808"	"TSI"	"female"	-0.0139904	-0.0142538
